"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2022","243.63","245.05","245.25","235.75","17.91M","1.46%"
"09/16/2022","240.13","231.22","241.35","227.83","18.91M","2.02%"
"09/15/2022","235.38","230.47","242.29","229.10","19.45M","5.02%"
"09/14/2022","224.12","219.82","228.00","215.80","8.23M","2.75%"
"09/13/2022","218.13","226.50","227.69","217.72","8.00M","-7.78%"
"09/12/2022","236.53","233.61","239.49","233.37","6.05M","1.27%"
"09/09/2022","233.57","229.62","234.78","229.62","6.70M","2.70%"
"09/08/2022","227.44","224.16","228.74","221.30","6.74M","-0.66%"
"09/07/2022","228.96","220.21","229.33","218.27","8.15M","4.84%"
"09/06/2022","218.39","225.59","226.85","214.69","7.47M","-3.41%"
"09/02/2022","226.11","231.03","233.88","225.04","8.16M","-1.71%"
"09/01/2022","230.04","220.72","230.37","219.47","7.29M","2.90%"
"08/31/2022","223.56","227.00","233.88","223.43","8.62M","1.32%"
"08/30/2022","220.65","226.66","229.79","218.74","5.74M","-1.75%"
"08/29/2022","224.57","221.93","229.87","221.52","7.11M","0.58%"
"08/26/2022","223.28","233.63","236.95","223.15","5.35M","-4.57%"
"08/25/2022","233.98","230.24","234.16","229.00","3.77M","1.90%"
"08/24/2022","229.61","225.66","234.10","223.94","5.43M","2.25%"
"08/23/2022","224.55","226.46","229.90","224.30","5.28M","-0.88%"
"08/22/2022","226.54","232.55","233.48","224.59","8.63M","-6.06%"
"08/19/2022","241.16","240.95","243.29","235.68","7.50M","-1.64%"
"08/18/2022","245.17","241.96","246.48","239.28","5.28M","1.67%"
"08/17/2022","241.15","241.18","244.24","237.56","5.63M","-1.85%"
"08/16/2022","245.69","247.16","249.29","244.03","5.14M","-1.37%"
"08/15/2022","249.11","248.11","251.99","247.51","6.53M","-0.08%"
"08/12/2022","249.30","244.81","249.41","243.76","6.10M","2.72%"
"08/11/2022","242.70","244.68","251.62","241.51","8.78M","-0.58%"
"08/10/2022","244.11","236.99","244.54","236.60","9.25M","6.16%"
"08/09/2022","229.94","231.62","232.20","224.65","6.18M","-1.52%"
"08/08/2022","233.49","227.49","241.96","226.41","11.00M","2.96%"
"08/05/2022","226.78","225.30","228.62","222.87","5.54M","-1.36%"
"08/04/2022","229.91","227.68","232.07","225.05","7.14M","1.40%"
"08/03/2022","226.73","224.79","228.10","222.42","6.40M","2.40%"
